"Updated.On","State","First.Dose.Administered","Second.Dose.Administered","Daily_First_dose","Daily_Second_dose"
2021-06-28,"Tripura",1926146,584797,26573,9895
2021-06-28,"Uttar Pradesh",26591964,4410055,437785,84810
2021-06-28,"Uttarakhand",3478499,784497,35388,13044
2021-06-28,"West Bengal",16563389,4863682,180829,117525
2021-06-27,"India",263289938,55183554,1584055,353662
2021-06-27,"Andaman and Nicobar Islands",145019,16306,1690,5
2021-06-27,"Andhra Pradesh",11958632,2910167,37685,3568
2021-06-27,"Arunachal Pradesh",475866,81835,5698,496
2021-06-27,"Assam",5668536,1186261,9857,3535
2021-06-27,"Bihar",13562883,2182032,54867,6850
2021-06-27,"Chandigarh",421745,82381,4441,823
2021-06-27,"Chhattisgarh",6380368,1441562,168483,51265
2021-06-27,"Dadra and Nagar Haveli and Daman and Diu",346721,32966,5262,1056
2021-06-27,"Delhi",5636415,1702823,6969,2617
2021-06-27,"Goa",762729,108743,14378,952
2021-06-27,"Gujarat",19500271,5387252,169290,60933
2021-06-27,"Haryana",7166083,1307278,33382,9239
2021-06-27,"Himachal Pradesh",3025895,471889,15693,25
2021-06-27,"Jammu and Kashmir",3699377,645566,55772,6513
2021-06-27,"Jharkhand",5640086,1028566,103553,17226
2021-06-27,"Karnataka",18196068,3554298,106933,21144
2021-06-27,"Kerala",10541450,2994428,35361,17179
2021-06-27,"Ladakh",168691,47925,20,632
2021-06-27,"Lakshadweep",46340,7515,87,32
2021-06-27,"Madhya Pradesh",17466782,2359924,22303,3167
2021-06-27,"Maharashtra",25144877,6014110,98251,28558
2021-06-27,"Manipur",533606,73067,2874,19
2021-06-27,"Meghalaya",587769,76522,732,17
2021-06-27,"Mizoram",497356,53240,215,0
2021-06-27,"Nagaland",407643,54869,4056,24
2021-06-27,"Odisha",9541199,2030434,24603,7827
2021-06-27,"Puducherry",418640,63262,2018,393
2021-06-27,"Punjab",5204384,978190,57468,11028
2021-06-27,"Rajasthan",20412715,3838578,222100,42051
2021-06-27,"Sikkim",371539,61597,5,0
2021-06-27,"Tamil Nadu",12535263,2486683,115202,16703
2021-06-27,"Telangana",8945567,1485528,95357,8773
2021-06-27,"Tripura",1899573,574902,5566,1235
2021-06-27,"Uttar Pradesh",26154179,4325245,24397,3697
2021-06-27,"Uttarakhand",3443111,771453,17233,3459
2021-06-27,"West Bengal",16382560,4746157,62254,22621
2021-06-26,"India",261705883,54829892,5570883,1162373
2021-06-26,"Andaman and Nicobar Islands",143329,16301,5075,455
2021-06-26,"Andhra Pradesh",11920947,2906599,239494,62405
2021-06-26,"Arunachal Pradesh",470168,81339,10278,595
2021-06-26,"Assam",5658679,1182726,122824,30160
2021-06-26,"Bihar",13508016,2175182,152151,18531
2021-06-26,"Chandigarh",417304,81558,7690,1692
2021-06-26,"Chhattisgarh",6211885,1390297,293871,62378
2021-06-26,"Dadra and Nagar Haveli and Daman and Diu",341459,31910,13052,2245
2021-06-26,"Delhi",5629446,1700206,172755,35315
2021-06-26,"Goa",748351,107791,20173,2133
2021-06-26,"Gujarat",19330981,5326319,277729,108427
2021-06-26,"Haryana",7132701,1298039,89348,26477
2021-06-26,"Himachal Pradesh",3010202,471864,142136,9881
2021-06-26,"Jammu and Kashmir",3643605,639053,41209,9378
2021-06-26,"Jharkhand",5536533,1011340,127983,16732
2021-06-26,"Karnataka",18089135,3533154,224394,56378
2021-06-26,"Kerala",10506089,2977249,103893,75420
2021-06-26,"Ladakh",168671,47293,503,3941
2021-06-26,"Lakshadweep",46253,7483,196,107
2021-06-26,"Madhya Pradesh",17444479,2356757,901073,99119
2021-06-26,"Maharashtra",25046626,5985552,590859,158129
2021-06-26,"Manipur",530732,73048,7072,240
2021-06-26,"Meghalaya",587037,76505,8110,294
2021-06-26,"Mizoram",497141,53240,9820,45
2021-06-26,"Nagaland",403587,54845,5546,49
2021-06-26,"Odisha",9516596,2022607,188716,55028
2021-06-26,"Puducherry",416622,62869,8182,1480
2021-06-26,"Punjab",5146916,967162,110645,31317
2021-06-26,"Rajasthan",20190615,3796527,261416,56557
2021-06-26,"Sikkim",371534,61597,9497,71
2021-06-26,"Tamil Nadu",12420061,2469980,363731,47753
2021-06-26,"Telangana",8850210,1476755,217280,27313
2021-06-26,"Tripura",1894007,573667,32023,7096
2021-06-26,"Uttar Pradesh",26129782,4321548,530826,63000
2021-06-26,"Uttarakhand",3425878,767994,59981,9714
2021-06-26,"West Bengal",16320306,4723536,221352,82518
2021-06-25,"India",256135000,53667519,5478120,897549
2021-06-25,"Andaman and Nicobar Islands",138254,15846,4721,61
2021-06-25,"Andhra Pradesh",11681453,2844194,95190,26147
2021-06-25,"Arunachal Pradesh",459890,80744,11298,160
2021-06-25,"Assam",5535855,1152566,148050,16520
2021-06-25,"Bihar",13355865,2156651,228655,19289
2021-06-25,"Chandigarh",409614,79866,6234,920
2021-06-25,"Chhattisgarh",5918014,1327919,178204,47031
2021-06-25,"Dadra and Nagar Haveli and Daman and Diu",328407,29665,15656,1368
2021-06-25,"Delhi",5456691,1664891,138567,16810
2021-06-25,"Goa",728178,105658,14464,1170
2021-06-25,"Gujarat",19053252,5217892,226270,75951
2021-06-25,"Haryana",7043353,1271562,115128,31038
2021-06-25,"Himachal Pradesh",2868066,461983,94798,11858
2021-06-25,"Jammu and Kashmir",3602396,629675,55716,6675
2021-06-25,"Jharkhand",5408550,994608,132658,15152
2021-06-25,"Karnataka",17864741,3476776,371143,49219
2021-06-25,"Kerala",10402196,2901829,143221,99164
2021-06-25,"Ladakh",168168,43352,597,3931
2021-06-25,"Lakshadweep",46057,7376,223,60
2021-06-25,"Madhya Pradesh",16543406,2257638,30812,360
2021-06-25,"Maharashtra",24455767,5827423,409258,85871
2021-06-25,"Manipur",523660,72808,8259,92
2021-06-25,"Meghalaya",578927,76211,13143,217
2021-06-25,"Mizoram",487321,53195,21821,95
2021-06-25,"Nagaland",398041,54796,11841,186
2021-06-25,"Odisha",9327880,1967579,201789,40873
2021-06-25,"Puducherry",408440,61389,6452,880
2021-06-25,"Punjab",5036271,935845,106312,21533
2021-06-25,"Rajasthan",19929199,3739970,838940,115554
2021-06-25,"Sikkim",362037,61526,12847,721
2021-06-25,"Tamil Nadu",12056330,2422227,397422,32716
2021-06-25,"Telangana",8632930,1449442,202890,13879
2021-06-25,"Tripura",1861984,566571,27807,3973
2021-06-25,"Uttar Pradesh",25598956,4258548,816717,64317
2021-06-25,"Uttarakhand",3365897,758280,90904,6822
2021-06-25,"West Bengal",16098954,4641018,300113,86936
2021-06-24,"India",250656880,52769970,5712000,822329
2021-06-24,"Andaman and Nicobar Islands",133533,15785,4903,181
2021-06-24,"Andhra Pradesh",11586263,2818047,254399,57957
2021-06-24,"Arunachal Pradesh",448592,80584,11601,463
2021-06-24,"Assam",5387805,1136046,154520,14705
2021-06-24,"Bihar",13127210,2137362,263904,22251
2021-06-24,"Chandigarh",403380,78946,6079,720
2021-06-24,"Chhattisgarh",5739810,1280888,198569,38557
2021-06-24,"Dadra and Nagar Haveli and Daman and Diu",312751,28297,8199,718
2021-06-24,"Delhi",5318124,1648081,138416,20073
2021-06-24,"Goa",713714,104488,12025,1176
2021-06-24,"Gujarat",18826982,5141941,351713,103600
2021-06-24,"Haryana",6928225,1240524,65031,15075
2021-06-24,"Himachal Pradesh",2773268,450125,28326,9678
2021-06-24,"Jammu and Kashmir",3546680,623000,44441,6117
2021-06-24,"Jharkhand",5275892,979456,107975,15555
2021-06-24,"Karnataka",17493598,3427557,367227,41594
2021-06-24,"Kerala",10258975,2802665,142018,82141
2021-06-24,"Ladakh",167571,39421,1404,1863
2021-06-24,"Lakshadweep",45834,7316,268,53
2021-06-24,"Madhya Pradesh",16512594,2257278,736971,53920
2021-06-24,"Maharashtra",24046509,5741552,383311,59489
2021-06-24,"Manipur",515401,72716,5148,157
2021-06-24,"Meghalaya",565784,75994,11717,422
2021-06-24,"Mizoram",465500,53100,22236,72
2021-06-24,"Nagaland",386200,54610,9208,816
2021-06-24,"Odisha",9126091,1926706,251759,35213
2021-06-24,"Puducherry",401988,60509,7166,1149
2021-06-24,"Punjab",4929959,914312,90068,17953
2021-06-24,"Rajasthan",19090259,3624416,184334,32298
2021-06-24,"Sikkim",349190,60805,12039,774
2021-06-24,"Tamil Nadu",11658908,2389511,369212,42419
2021-06-24,"Telangana",8430040,1435563,196650,14420
2021-06-24,"Tripura",1834177,562598,45826,5974
2021-06-24,"Uttar Pradesh",24782239,4194231,864053,51907
2021-06-24,"Uttarakhand",3274993,751458,98673,5438
2021-06-24,"West Bengal",15798841,4554082,262611,67431
2021-06-23,"India",244944880,51947641,6259364,671411
2021-06-23,"Andaman and Nicobar Islands",128630,15604,3901,37
2021-06-23,"Andhra Pradesh",11331864,2760090,25730,8062
2021-06-23,"Arunachal Pradesh",436991,80121,11978,107
2021-06-23,"Assam",5233285,1121341,347509,18039
2021-06-23,"Bihar",12863306,2115111,316442,19579
2021-06-23,"Chandigarh",397301,78226,6715,376
2021-06-23,"Chhattisgarh",5541241,1242331,155082,22897
2021-06-23,"Dadra and Nagar Haveli and Daman and Diu",304552,27579,6851,274
2021-06-23,"Delhi",5179708,1628008,99116,11367
2021-06-23,"Goa",701689,103312,12897,832
2021-06-23,"Gujarat",18475269,5038341,370133,76201
2021-06-23,"Haryana",6863194,1225449,62482,15109
2021-06-23,"Himachal Pradesh",2744942,440447,144562,87
2021-06-23,"Jammu and Kashmir",3502239,616883,62754,4950
2021-06-23,"Jharkhand",5167917,963901,112553,19069
2021-06-23,"Karnataka",17126371,3385963,374145,33715
2021-06-23,"Kerala",10116957,2720524,94710,73835
2021-06-23,"Ladakh",166167,37558,1368,28
2021-06-23,"Lakshadweep",45566,7263,332,38
2021-06-23,"Madhya Pradesh",15775623,2203358,1115038,60770
2021-06-23,"Maharashtra",23663198,5682063,573653,65233
2021-06-23,"Manipur",510253,72559,6205,146
2021-06-23,"Meghalaya",554067,75572,12321,161
2021-06-23,"Mizoram",443264,53028,22832,156
2021-06-23,"Nagaland",376992,53794,10548,327
2021-06-23,"Odisha",8874332,1891493,299843,24512
2021-06-23,"Puducherry",394822,59360,7459,1360
2021-06-23,"Punjab",4839891,896359,75409,13810
2021-06-23,"Rajasthan",18905925,3592118,314480,44488
2021-06-23,"Sikkim",337151,60031,11803,48
2021-06-23,"Tamil Nadu",11289696,2347092,196864,25132
2021-06-23,"Telangana",8233390,1421143,156808,11205
2021-06-23,"Tripura",1788351,556624,54508,5122
2021-06-23,"Uttar Pradesh",23918186,4142324,788600,39471
2021-06-23,"Uttarakhand",3176320,746020,119357,3898
2021-06-23,"West Bengal",15536230,4486651,284376,70970
2021-06-22,"India",238685516,51276230,5396709,673273
2021-06-22,"Andaman and Nicobar Islands",124729,15567,2765,36
2021-06-22,"Andhra Pradesh",11306134,2752028,40801,6198
2021-06-22,"Arunachal Pradesh",425013,80014,10746,251
2021-06-22,"Assam",4885776,1103302,250497,17354
2021-06-22,"Bihar",12546864,2095532,385230,22108
2021-06-22,"Chandigarh",390586,77850,7620,390
2021-06-22,"Chhattisgarh",5386159,1219434,108036,17178
2021-06-22,"Dadra and Nagar Haveli and Daman and Diu",297701,27305,7477,262
2021-06-22,"Delhi",5080592,1616641,67154,18845
2021-06-22,"Goa",688792,102480,14246,928
2021-06-22,"Gujarat",18105136,4962140,374673,72952
2021-06-22,"Haryana",6800712,1210340,110062,21165
2021-06-22,"Himachal Pradesh",2600380,440360,121991,25
2021-06-22,"Jammu and Kashmir",3439485,611933,37474,4733
2021-06-22,"Jharkhand",5055364,944832,98214,18421
2021-06-22,"Karnataka",16752226,3352248,413057,38658
2021-06-22,"Kerala",10022247,2646689,144135,93599
2021-06-22,"Ladakh",164799,37530,1582,41
2021-06-22,"Lakshadweep",45234,7225,408,50
2021-06-22,"Madhya Pradesh",14660585,2142588,66196,3779
2021-06-22,"Maharashtra",23089545,5616830,501852,75755
2021-06-22,"Manipur",504048,72413,3946,118
2021-06-22,"Meghalaya",541746,75411,12787,175
2021-06-22,"Mizoram",420432,52872,27425,59
2021-06-22,"Nagaland",366444,53467,10082,257
2021-06-22,"Odisha",8574489,1866981,264968,26954
2021-06-22,"Puducherry",387363,58000,7813,979
2021-06-22,"Punjab",4764482,882549,109754,15283
2021-06-22,"Rajasthan",18591445,3547630,357910,68121
2021-06-22,"Sikkim",325348,59983,13888,40
2021-06-22,"Tamil Nadu",11092832,2321960,285776,22350
2021-06-22,"Telangana",8076582,1409938,147651,11301
2021-06-22,"Tripura",1733843,551502,184701,7393
2021-06-22,"Uttar Pradesh",23129586,4102853,833082,39947
2021-06-22,"Uttarakhand",3056963,742122,118416,4169
2021-06-22,"West Bengal",15251854,4415681,254294,63399
2021-06-21,"India",233288807,50602957,8077099,795972
2021-06-21,"Andaman and Nicobar Islands",121964,15531,762,25
2021-06-21,"Andhra Pradesh",11265333,2745830,64104,6499
2021-06-21,"Arunachal Pradesh",414267,79763,13583,127
2021-06-21,"Assam",4635279,1085948,340617,20225
2021-06-21,"Bihar",12161634,2073424,530808,23872
2021-06-21,"Chandigarh",382966,77460,6612,237
2021-06-21,"Chhattisgarh",5278123,1202256,86062,13827
2021-06-21,"Dadra and Nagar Haveli and Daman and Diu",290224,27043,NA,NA
2021-06-21,"Delhi",5013438,1597796,59653,17788
2021-06-21,"Goa",674546,101552,15365,527
2021-06-21,"Gujarat",17730463,4889188,451707,68409
2021-06-21,"Haryana",6690650,1189175,474618,37264
2021-06-21,"Himachal Pradesh",2478389,440335,98711,15
2021-06-21,"Jammu and Kashmir",3402011,607200,34483,4005
2021-06-21,"Jharkhand",4957150,926411,87712,17240
2021-06-21,"Karnataka",16339169,3313590,1070447,83949
2021-06-21,"Kerala",9878112,2553090,158996,110657
2021-06-21,"Ladakh",163217,37489,1408,12
2021-06-21,"Lakshadweep",44826,7175,479,15
2021-06-21,"Madhya Pradesh",14594389,2138809,1629352,84029
2021-06-21,"Maharashtra",22587693,5541075,342981,51813
2021-06-21,"Manipur",500102,72295,6537,150
2021-06-21,"Meghalaya",528959,75236,13062,161
2021-06-21,"Mizoram",393007,52813,16975,159
2021-06-21,"Nagaland",356362,53210,10064,138
2021-06-21,"Odisha",8309521,1840027,271904,31512
2021-06-21,"Puducherry",379550,57021,17047,852
2021-06-21,"Punjab",4654728,867266,88793,10314
2021-06-21,"Rajasthan",18233535,3479509,425453,49415
2021-06-21,"Sikkim",311460,59943,11936,32
2021-06-21,"Tamil Nadu",10807056,2299610,377844,27407
2021-06-21,"Telangana",7928931,1398637,143773,9874
2021-06-21,"Tripura",1549142,544109,145529,5016
2021-06-21,"Uttar Pradesh",22296504,4062906,693806,38519
2021-06-21,"Uttarakhand",2938547,737953,116564,3782
2021-06-21,"West Bengal",14997560,4352282,260889,78006
2021-06-20,"India",225211708,49806985,2894811,290240
2021-06-20,"Andaman and Nicobar Islands",121202,15506,1,0
2021-06-20,"Andhra Pradesh",11201229,2739331,1350274,87053
2021-06-20,"Arunachal Pradesh",400684,79636,2139,14
2021-06-20,"Assam",4294662,1065723,25469,10316
2021-06-20,"Bihar",11630826,2049552,159184,11538
2021-06-20,"Chandigarh",376354,77223,3455,65
2021-06-20,"Chhattisgarh",5192061,1188429,2426,2835
2021-06-20,"Dadra and Nagar Haveli and Daman and Diu",NA,NA,NA,NA
2021-06-20,"Delhi",4953785,1580008,10054,1621
2021-06-20,"Goa",659181,101025,12745,100
2021-06-20,"Gujarat",17278756,4820779,162456,33518
2021-06-20,"Haryana",6216032,1151911,35121,5781
2021-06-20,"Himachal Pradesh",2379678,440320,837,16
2021-06-20,"Jammu and Kashmir",3367528,603195,15837,1169
2021-06-20,"Jharkhand",4869438,909171,107105,15366
2021-06-20,"Karnataka",15268722,3229641,63337,13636
2021-06-20,"Kerala",9719116,2442433,42212,16135
2021-06-20,"Ladakh",161809,37477,0,0
2021-06-20,"Lakshadweep",44347,7160,221,2
2021-06-20,"Madhya Pradesh",12965037,2054780,903,171
2021-06-20,"Maharashtra",22244712,5489262,110223,7043
2021-06-20,"Manipur",493565,72145,513,2
2021-06-20,"Meghalaya",515897,75075,1062,4
2021-06-20,"Mizoram",376032,52654,0,0
2021-06-20,"Nagaland",346298,53072,4324,24
2021-06-20,"Odisha",8037617,1808515,18383,1842
2021-06-20,"Puducherry",362503,56169,8317,226
2021-06-20,"Punjab",4565935,856952,30504,6859
2021-06-20,"Rajasthan",17808082,3430094,328304,40603
2021-06-20,"Sikkim",299524,59911,802,0
2021-06-20,"Tamil Nadu",10429212,2272203,190808,11693
2021-06-20,"Telangana",7785158,1388763,100847,3364
2021-06-20,"Tripura",1403613,539093,19816,2024
2021-06-20,"Uttar Pradesh",21602698,4024387,15067,1210
2021-06-20,"Uttarakhand",2821983,734171,12233,1985
2021-06-20,"West Bengal",14736671,4274276,59522,14006
2021-06-19,"India",222316897,49516745,3360034,522037
2021-06-19,"Andaman and Nicobar Islands",121201,15506,819,38
2021-06-19,"Andhra Pradesh",9850955,2652278,12409,3358
2021-06-19,"Arunachal Pradesh",398545,79622,9176,116
2021-06-19,"Assam",4269193,1055407,89332,24654
2021-06-19,"Bihar",11471642,2038014,312901,22075
2021-06-19,"Chandigarh",372899,77158,9086,386
2021-06-19,"Chhattisgarh",5189635,1185594,4128,5982
2021-06-19,"Dadra and Nagar Haveli and Daman and Diu",281451,26924,10562,169
2021-06-19,"Delhi",4943731,1578387,62221,25702
2021-06-19,"Goa",646436,100925,20058,617
2021-06-19,"Gujarat",17116300,4787261,261789,45509
2021-06-19,"Haryana",6180911,1146130,67422,12145
2021-06-19,"Himachal Pradesh",2378841,440304,24092,1956
2021-06-19,"Jammu and Kashmir",3351691,602026,38090,4792
2021-06-19,"Jharkhand",4762333,893805,91642,17720
2021-06-19,"Karnataka",15205385,3216005,234192,56400
2021-06-19,"Kerala",9676904,2426298,87559,19332
2021-06-19,"Ladakh",161809,37477,1106,25
2021-06-19,"Lakshadweep",44126,7158,484,27
2021-06-19,"Madhya Pradesh",12964134,2054609,13549,10361
2021-06-19,"Maharashtra",22134489,5482219,331961,64591
2021-06-19,"Manipur",493052,72143,4005,143
2021-06-19,"Meghalaya",514835,75071,11735,73
2021-06-19,"Mizoram",376032,52654,7250,1
2021-06-19,"Nagaland",341974,53048,2766,30
2021-06-19,"Odisha",8019234,1806673,136906,32900
2021-06-19,"Puducherry",354186,55943,24073,784
2021-06-19,"Punjab",4535431,850093,22282,6674
2021-06-19,"Rajasthan",17479778,3389491,220632,17798
2021-06-19,"Sikkim",298722,59911,11230,12
2021-06-19,"Tamil Nadu",10238404,2260510,327386,22854
2021-06-19,"Telangana",7684311,1385399,184688,10111
2021-06-19,"Tripura",1383797,537069,54815,5174
2021-06-19,"Uttar Pradesh",21587631,4023177,424903,36228
2021-06-19,"Uttarakhand",2809750,732186,22951,3336
2021-06-19,"West Bengal",14677149,4260270,221834,69964
2021-06-18,"India",218956863,48994708,3012255,402071
2021-06-18,"Andaman and Nicobar Islands",120382,15468,934,19
2021-06-18,"Andhra Pradesh",9838546,2648920,21422,3343
2021-06-18,"Arunachal Pradesh",389369,79506,15346,71
2021-06-18,"Assam",4179861,1030753,90079,28228
2021-06-18,"Bihar",11158741,2015939,163330,28937
2021-06-18,"Chandigarh",363813,76772,7731,270
2021-06-18,"Chhattisgarh",5185507,1179612,3236,4299
2021-06-18,"Dadra and Nagar Haveli and Daman and Diu",270889,26755,6692,77
2021-06-18,"Delhi",4881510,1552685,63282,15383
2021-06-18,"Goa",626378,100308,17301,591
2021-06-18,"Gujarat",16854511,4741752,222217,39759
2021-06-18,"Haryana",6113489,1133985,81590,15029
2021-06-18,"Himachal Pradesh",2354749,438348,50150,1245
2021-06-18,"Jammu and Kashmir",3313601,597234,45724,4824
2021-06-18,"Jharkhand",4670691,876085,90069,17548
2021-06-18,"Karnataka",14971193,3159605,199423,32018
2021-06-18,"Kerala",9589345,2406966,84362,16523
2021-06-18,"Ladakh",160703,37452,1428,10
2021-06-18,"Lakshadweep",43642,7131,432,7
2021-06-18,"Madhya Pradesh",12950585,2044248,16410,3155
2021-06-18,"Maharashtra",21802528,5417628,193301,40917
2021-06-18,"Manipur",489047,72000,4414,185
2021-06-18,"Meghalaya",503100,74998,15104,66
2021-06-18,"Mizoram",368782,52653,10904,18
2021-06-18,"Nagaland",339208,53018,9544,142
2021-06-18,"Odisha",7882328,1773773,125782,24019
2021-06-18,"Puducherry",330113,55159,15815,509
2021-06-18,"Punjab",4513149,843419,22636,6154
2021-06-18,"Rajasthan",17259146,3371693,338362,6018
2021-06-18,"Sikkim",287492,59899,15546,18
2021-06-18,"Tamil Nadu",9911018,2237656,197959,15603
2021-06-18,"Telangana",7499623,1375288,172252,7817
2021-06-18,"Tripura",1328982,531895,64480,5137
2021-06-18,"Uttar Pradesh",21162728,3986949,437202,38878
2021-06-18,"Uttarakhand",2786799,728850,34528,3938
2021-06-18,"West Bengal",14455315,4190306,173268,41316
2021-06-17,"India",215944608,48592637,2999256,419521
2021-06-17,"Andaman and Nicobar Islands",119448,15449,937,29
2021-06-17,"Andhra Pradesh",9817124,2645577,21262,1540
2021-06-17,"Arunachal Pradesh",374023,79435,14561,93
2021-06-17,"Assam",4089782,1002525,71245,22345
2021-06-17,"Bihar",10995411,1987002,232281,33321
2021-06-17,"Chandigarh",356082,76502,6878,211
2021-06-17,"Chhattisgarh",5182271,1175313,2769,3967
2021-06-17,"Dadra and Nagar Haveli and Daman and Diu",264197,26678,5943,70
2021-06-17,"Delhi",4818228,1537302,61980,29829
2021-06-17,"Goa",609077,99717,16358,467
2021-06-17,"Gujarat",16632294,4701993,191508,30769
2021-06-17,"Haryana",6031899,1118956,112685,18014
2021-06-17,"Himachal Pradesh",2304599,437103,41704,475
2021-06-17,"Jammu and Kashmir",3267877,592410,38262,3081
2021-06-17,"Jharkhand",4580622,858537,74160,13300
2021-06-17,"Karnataka",14771770,3127587,177709,26217
2021-06-17,"Kerala",9504983,2390443,118917,29573
2021-06-17,"Ladakh",159275,37442,2194,22
2021-06-17,"Lakshadweep",43210,7124,427,3
2021-06-17,"Madhya Pradesh",12934175,2041093,118898,15886
2021-06-17,"Maharashtra",21609227,5376711,166916,44475
2021-06-17,"Manipur",484633,71815,2097,108
2021-06-17,"Meghalaya",487996,74932,18045,102
2021-06-17,"Mizoram",357878,52635,16505,229
2021-06-17,"Nagaland",329664,52876,9204,265
2021-06-17,"Odisha",7756546,1749754,125134,30714
2021-06-17,"Puducherry",314298,54650,15176,651
2021-06-17,"Punjab",4490513,837265,21907,6070
2021-06-17,"Rajasthan",16920784,3365675,238342,5414
2021-06-17,"Sikkim",271946,59881,14461,31
2021-06-17,"Tamil Nadu",9713059,2222053,271441,19820
2021-06-17,"Telangana",7327371,1367471,175415,7480
2021-06-17,"Tripura",1264502,526758,50636,4300
2021-06-17,"Uttar Pradesh",20725526,3948071,381889,37544
2021-06-17,"Uttarakhand",2752271,724912,26766,5763
2021-06-17,"West Bengal",14282047,4148990,154644,27343
2021-06-16,"India",212945352,48173116,3128913,384027
2021-06-16,"Andaman and Nicobar Islands",118511,15420,966,26
2021-06-16,"Andhra Pradesh",9795862,2644037,30155,3377
2021-06-16,"Arunachal Pradesh",359462,79342,12403,108
2021-06-16,"Assam",4018537,980180,34305,12549
2021-06-16,"Bihar",10763130,1953681,489773,21631
2021-06-16,"Chandigarh",349204,76291,6146,185
2021-06-16,"Chhattisgarh",5179502,1171346,2899,3480
2021-06-16,"Dadra and Nagar Haveli and Daman and Diu",258254,26608,5798,110
2021-06-16,"Delhi",4756248,1507473,36927,18505
2021-06-16,"Goa",592719,99250,14794,386
2021-06-16,"Gujarat",16440786,4671224,226782,29536
2021-06-16,"Haryana",5919214,1100942,57101,11017
2021-06-16,"Himachal Pradesh",2262895,436628,40144,334
2021-06-16,"Jammu and Kashmir",3229615,589329,35116,1356
2021-06-16,"Jharkhand",4506462,845237,61431,14422
2021-06-16,"Karnataka",14594061,3101370,182003,30649
2021-06-16,"Kerala",9386066,2360870,78897,32623
2021-06-16,"Ladakh",157081,37420,1154,17
2021-06-16,"Lakshadweep",42783,7121,1297,8
2021-06-16,"Madhya Pradesh",12815277,2025207,317334,27651
2021-06-16,"Maharashtra",21442311,5332236,202456,47702
2021-06-16,"Manipur",482536,71707,5879,82
2021-06-16,"Meghalaya",469951,74830,13993,50
2021-06-16,"Mizoram",341373,52406,20635,13
2021-06-16,"Nagaland",320460,52611,11231,106
2021-06-16,"Odisha",7631412,1719040,127874,36427
2021-06-16,"Puducherry",299122,53999,12923,503
2021-06-16,"Punjab",4468606,831195,17872,4229
2021-06-16,"Rajasthan",16682442,3360261,46063,6305
2021-06-16,"Sikkim",257485,59850,14950,12
2021-06-16,"Tamil Nadu",9441618,2202233,337127,20986
2021-06-16,"Telangana",7151956,1359991,172880,5543
2021-06-16,"Tripura",1213866,522458,28011,2171
2021-06-16,"Uttar Pradesh",20343637,3910527,347914,34727
2021-06-16,"Uttarakhand",2725505,719149,20228,5321
2021-06-16,"West Bengal",14127403,4121647,113452,11880
